"","L1","L2","L3","L4","R1","R2","R3","R4","RL_6","RH_6","LH_6"
"Unidentifiable_Worm_Parts","3.0","9.0","16.0","0","0","7.0","11.0","34.0","22.0","95.0","11.0"
"Streblospio_benedicti","3.0","3.0","3.0","0","0","5.0","25.0","12.0","3.0","7.0","6.0"
"Hediste_diversicolor","4.0","0","7.0","0","0","1.0","12.0","5.0","17.0","35.0","5.0"
"Oligochaete","7.0","11.0","38.0","9.0","0","14.0","25.0","22.0","39.0","127.0","58.0"
"Capitellidae","7.0","14.0","28.0","1.0","0","16.0","13.0","37.0","53.0","65.0","10.0"
"Polydora","0","0","0","0","0","0","0","0","3.0","3.0","0.0"
"Nematodes","0","1.0","3.0","0","0","1.0","0","2.0","13.0","45.0","5.0"
"Alitta_virens","0","0","0","1.0","0","0","0","3.0","0","2.0","0"
"Gastropod","0","0","1.0","0","0","0","0","0","0","0","0"
"Carcinus_maenas","0","0","0","1.0","0","0","0","0","0","0","1.0"
"lumbrineridae","0","0","0","1.0","0","0","0","0","0","0","0"
"Cerebratulus_lacteus","0","0","0","0","0","0","0","0","0","1.0","0"
"Platynereis_dumerilii","0","0","0","0","0","0","0","0","0","1.0","0"
"Amphipoda","0","0","0","0","0","0","0","0","0","1.0","0"
